"Name","Tags","MSE_ID","MSE_all","R2ScoreVW_ID","R2ScoreVW_all","seed"
"Orthogonal Compositional (Alpha)","2 slots, AlphaAdd, paper","0.018128253519535065","0.02674932647496462","-0.1269688479602337","-0.06329874210059643","4"
"Orthogonal Compositional (Alpha)","2 slots, AlphaAdd, paper","0.0003212920040823519","0.0006729365501087159","0.9801376342773438","0.9733121395111084","3"
"Orthogonal Compositional (Alpha)","2 slots, AlphaAdd, paper","0.0091644830070436","0.017331547290086746","0.4302826464176178","0.3111177086830139","2"
"Orthogonal Compositional (Alpha)","2 slots, AlphaAdd, paper","0.006456900155171752","0.016107603907585144","0.5986814498901367","0.3597393840551376","1"
"Orthogonal Compositional (Alpha)","2 slots, AlphaAdd, paper","0.0003168335446389392","0.000643658300396055","0.980401599407196","0.9744731307029724","0"
"Orthogonal Normal Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.001494622533209622","0.005755035253241658","0.9058362305164336","0.7715240597724915","4"
"Orthogonal Normal Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0006647533562500029","0.001270012417808175","0.9582533597946168","0.9496722519397736","3"
"Orthogonal Normal Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0006690265203360468","0.001252755196765065","0.95795419216156","0.9503460764884948","2"
"Orthogonal Normal Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.001015227392781526","0.005339459562674165","0.9359980821609496","0.787955766916275","1"
"Orthogonal Gap Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0007298778393305839","0.00236629992723465","0.9547364294528962","0.9061781883239746","1"
"Orthogonal Normal Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0006394197174813598","0.0012057814397849142","0.9598014295101166","0.952217972278595","0"
"Orthogonal Gap Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0007169181888457387","0.0027210262371227143","0.9554929912090302","0.8919669687747955","4"
"Orthogonal Gap Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0007042771787382663","0.002557541290298104","0.956336748600006","0.8995299160480499","3"
"Orthogonal Gap Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0007663715397939086","0.0028192572528496383","0.9524511456489564","0.8880419850349426","2"
"Orthogonal Gap Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.000760083959903568","0.0027465147897601126","0.952847546339035","0.8909509658813477","0"
"Orthogonal Monolithic","2 slots, monolithic, paper","0.0008846157870721072","0.038219645619392395","0.9456534683704376","-0.4789582639932632","4"
"Orthogonal Monolithic","2 slots, monolithic, paper","0.0008275548636447639","0.03919902890920639","0.9489016771316529","-0.49605112075805663","3"
"Orthogonal Monolithic","2 slots, monolithic, paper","0.000837833882542327","0.042083242908120155","0.9482627749443054","-0.6136704027652741","2"
"Orthogonal Monolithic","2 slots, monolithic, paper","0.0008746210893150419","0.046641654893755914","0.945985072851181","-0.4693102896213531","1"
"Orthogonal Monolithic","2 slots, monolithic, paper","0.0008200171403586864","0.03697061911225319","0.9493970513343812","-0.4398399204015731","0"
"Orthogonal* Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0006893154582940042","0.0034787579206749797","0.9541627585887908","0.8618649959564209","4"
"Orthogonal* Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0006789179402403534","0.003592896484769881","0.9548628747463226","0.8573313653469086","3"
"Orthogonal* Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0006902690918650478","0.003077843249775469","0.9541142582893372","0.8778236687183381","2"
"Orthogonal* Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.000686970673268661","0.0031906562158837914","0.9543277025222778","0.8734682142734528","1"
"Orthogonal Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0006833997904323041","0.0012123530614189804","0.9577445924282074","0.9519403874874116","3"
"Orthogonal Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.000688337959581986","0.0012142586288973688","0.9575320601463316","0.9518818378448486","4"
"Orthogonal Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0006882196699734777","0.0012113293283618986","0.9575151205062866","0.9519666850566864","2"
"Orthogonal Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0007100661110598594","0.0012605328229255974","0.9562074601650238","0.9500445425510406","1"
"Diagonal 0.05 Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.002579500782303512","0.01607577968388796","0.845806622505188","0.3622082471847534","4"
"Diagonal 0.05 Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0033598576439544557","0.015277869254350662","0.7989334344863892","0.3928516894578934","3"
"Diagonal 0.05 Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0008759161341004073","0.002552970964461565","0.947723627090454","0.8986255943775177","2"
"Diagonal 0.05 Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.000938489637337625","0.0026198155945166947","0.9440026640892027","0.895989054441452","1"
"Diagonal 0.1 Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0010460777557455003","0.0021087104454636575","0.945302301645279","0.9162990033626556","4"
"Diagonal 0.1 Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0007992610801011324","0.0011720568989403543","0.958211386203766","0.9535127341747284","3"
"Diagonal 0.1 Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0008974270953331142","0.0012571188039146365","0.9530740439891816","0.9501524567604064","2"
"Diagonal 0.1 Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0009014412702526896","0.0012622611597180367","0.9528654396533968","0.9499517261981963","1"
"Diagonal 0.1 Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0007912827364634723","0.001156916527543217","0.9586243987083436","0.9541276216506958","0"
"Orthogonal* Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0006913354794960469","0.003133689309470355","0.9539949059486388","0.8756206572055817","0"
"Orthogonal Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0007002008729614318","0.0013038754696026444","0.956801587343216","0.9488314032554628","0"
"Diagonal 0.2 Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0009636037168093026","0.0011416624416597189","0.9568720161914824","0.9547495663166046","4"
"Diagonal 0.2 Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0009571899950969964","0.001153187861200422","0.9571794629096984","0.954287326335907","3"
"Diagonal 0.2 Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0009761159541085364","0.0011580458143725992","0.9563227295875548","0.9541050374507904","2"
"Diagonal 0.2 Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0009550868708174676","0.001130649691913277","0.9572580695152284","0.9551966309547424","1"
"Random Monolithic","2 slots, monolithic, paper","0.0017499896814115346","0.0017499896348454058","0.9306595981121064","0.9306478202342988","1"
"Random Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0010623221402056514","0.0010623221169225872","0.957888126373291","0.9578887522220612","4"
"Random Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0010486250044777989","0.0010486249928362667","0.958436781167984","0.9584262371063232","3"
"Random Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0011159409885294735","0.0011159409885294735","0.9557653427124024","0.955759024620056","2"
"Random Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0010722568025812508","0.0010722567909397184","0.9574957430362702","0.9574906408786774","1"
"Random Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0010635039652697742","0.0010635039187036454","0.9578709363937378","0.9578623354434967","0"
"Orthogonal+ Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.000660414737649262","0.0012014147127047182","0.9587911486625672","0.9523746311664582","2"
"Orthogonal+ Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0006565606163349003","0.0011682805488817394","0.9590542018413544","0.9537001490592956","4"
"Orthogonal+ Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0006293440877925604","0.0011223870562389491","0.9607939064502716","0.955494463443756","3"
"Orthogonal+ Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0006652344716712832","0.001190565712749958","0.9585165798664091","0.9528108060359954","1"
"Diagonal 0.05 Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.003364006988704205","0.015265297889709472","0.7986823141574859","0.3933469027280808","0"
"Diagonal 0.2 Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0009036283881869168","0.0010807288810610772","0.9595508992671966","0.957155728340149","0"
"Orthogonal+ Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0006392892217263579","0.0011405243421904745","0.9601357698440552","0.9547936856746674","0"
"Random Monolithic","2 slots, monolithic, paper","0.00173410102725029","0.0017341010738164187","0.931302410364151","0.9312915921211242","4"
"Random Monolithic","2 slots, monolithic, paper","0.0017154454486444592","0.00171544550685212","0.9320233404636384","0.9320327281951905","2"
"Random Monolithic","2 slots, monolithic, paper","0.0017373974085785448","0.0017373973736539484","0.9311703860759736","0.931182599067688","3"
"Random Monolithic","2 slots, monolithic, paper","0.0017166463076137006","0.0017166462959721685","0.9319699227809906","0.931981122493744","0"